text,CEFR
"M. Meier Müllergasse 1 Stadt X Internationale Au-pair Vermittlung Bahnhofstr. 101 Wiesbaden Stadt X, den . , ihre Anzeige in der Zeitung hat mich sehr erfreut, so was habe ich schon lange gesucht. Da mir die Arbeit mit anderen Menschen sehr groÃen Spas bereitet, habe ich mich entschlossen, mich zu bewerben. Ich bin flexibel und für neuen Aufgaben ofen. Takt, Geduld, warmherzigkeit und Zuverlässigkeit bringe ich mit, sowie Erfahrung im Umgang mit Kindern und der Haushaltsführung. Ich spreche Russisch, Englisch, Kasachisch, habe Grundkenntnisse in Deutsch. Zusätzlich habe ich Computerkenntnisse. Naturlich würde ich gern Deutsche Sprache und das Leben in Deutschland kennenlernen. Ich wäre Ihnen sehr dankbar, wenn Sie mir weitere Informationen über Reche, Pflichen und Aufenthaltsformalitäten zuschicken könnten. Werde ich versichert? Welche Freizeitaktivitäten finden statt? Wiviel Stunden in der Woche müssen die Kinder betreut werden? Ob ich was verdiene? Ãber eine baldige Antwort würde ich mich sehr freuen",B2
"Müller Julia Bahnhofsstr. 1 A Stadt X Armenien AUPAIRSGLOBAL Bahnhofstr. 101 Wiesbaden 0611/76 ich habe Ihre Anannse in der Zeitung gelesen. Von ihr Anzeige bin ich interesiert. Für diese Stelle bringe ich alle Voraussetzungen mit. Ich habe Linguistik studiert und spreche Deutsch, Russicsh und Armenisch. Zusätzlich habe ich Computerkenntnisse. Ich möchte in Deutschland arbeiten, weil ich glaube, dass ich auf diese Weise die Gelegenheit haben werde, nicht nur die Arbeit sondan auch die Mentalitet der Deutschen besse kennen zu lernen. Diese Erfarung wurde mich späte gut helfen, bei meine Arbeit in Armenien. Könen sie mir mitteilen alle Bedingungen und Formalitäten von diese arbeit. Ich möchte wiessen welche Rechte und Pflichte ich in Deutschland habe. Kann ich mit meinem Armenischen Pass nach Deutschland fliegen? Was für Freizeitaktivitäten die Deutschekinder mögen? Ich würde Ihnen sehr dankbar, wenn Sie alle meine Fragen bald beantworten konnen. Uber eine positive Antwort wurde ich mir sehr freuen und verbliebe mit freundlich GrüÃen Julia Müller",B2
"Michael Meier 1 Zentralplatz 1234. Stadt X Aupairsglobal Bahnhofstr. 101 Wiesbaden Tel: 0611/76 , mit groÃem Interesse habe ich in XY Zeitung Ihre Anzeige. Ich begeistere für diese Angebot Chance um mein Deutsch zu verbesser und andere Leute kennenzulernen, die unterschietliche und verschiedenen Ländern kommen, und ganz unterschiedliche Kulturen haben. Ich möch-unreadable- mich über die Unterlagen informieren, die ich brauche, um eine Aufenthaltserlaubnis in Deutschland zu erhalten. Ich -unreadable- nicht, das ich eine Deutschprüfung bestehen muss. Wichtig ist, meine Rechte und Pflichten zu weiÃen. Welche Tätigkeiten muss ich (obligatorisch) unbedingt erledigen und was kann ich auch freiwillig machen? Können Sie mir doch mitteilen, ob ich eine Krankenversicherung in diesem Zentrum haben will, und ob ich am Wochende frei haben will? Wie kann ich die Freizeiten verbringen? Habe Sie ein Programm dafür oder können wir das selbst organisieren? Ich wurd wäre Ihnen sehr dankbar, wenn Sie mich meine Fragen benantworten würden. Mit freundlichen GrüÃen Meier",B2
"Eva Meier Schmidt Müllergasse 12 Stadt X Kroatien Aupair-sglobal Bahnhofstr. 101 Wiesbaden Stadt X, , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen. Deshalb habe ich mich entschieden diesen Brief zu schreiben und ich hoffe sie antworten mir auf meine Fragen. Ich komme aus Kroatien und bin 28 Jahre alt. Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern. Gerne würde ich auch wissen welche Aufenthaltsformalit-unreadable- verlangen Sie von mir? Muss ich alle Dokumente für Visum und Arbeitserlaubnis in Kroatien abgeben oder doch in Deutschland? Können Sie mir auch mitteilen, welche Rechte ich habe? Habe ich während meiner Zeit in Deutschland eine Krankenversicherung? Welche Pflichten erwarten mich? Ich kann sehr gut mit Kinder zusammen arbeiten, weil ich schon Lehrerin Ausbildung habe, in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken, mit viele Sehenswürdigkeiten und Kultur. Auf Ihre positive Antwort freue ich mich und bei Ihnen bedanke. Mit Freundlichen grüÃen, Eva Meier",B2
"Abs. Frau EVA SCHMIDT BAHNHOFSTR, , 1234 STADT X LITAUEN AUPAIRSGLOBAL BAHNHOFSTR: 101, WIESBADEN 0611/76 STADT X, ICH HABE IHRE ANZEIGE GELESEN; UND WOLTE NOCH EIN PAAR FRAGEN STELEN. ICH HABE LITAUISCHE STAATSANGEHORISCHKEIT: WIE IST MIT AUFENTHALTSFORMALITÃTEN? (LITAUEN IST IN den EU): BRAUCHE ICH ""EINE ABITUR DIPLOME und ec: DOKUMENTE ZU UBERSETZEN? WIE LANG DAUERT die GANZE POWEREITUNG mit -unreadable- WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG (in mein Heimatsland oder in Deutschland) Ich wolte wisen, welche Sprache wird in der Familie geschprochen. Ich möchte gern in Deutsche Familie arbeiten - um meine Deutsch sprache zu verbesern. (Englisch spreche ich nicht) Noch ein paar Fragen: - Wie viele Stunde am Tag würde ich Arbeiten? -wan Kinder sind in die Schuhle, oder in der KITA, darf ich meine Zeit selbst organizieren (Einkaufen, Putzen, Ordnung machen - oder gibs eine feste Zeitplan) -Dürfte ich eine Deutschsprache Kurse besuschen? Gibs in Eurere Statd solche Kurse??? -Muss ich 24 St am Tag mit Familie verbringen? Ich gerne schwimmen (das tut gut für Stresausbau), dürfte ich das auch in Deutschland machen? Ich warte auf ihre Antwort, und bin bereit ab mitte Mai nach Deutschland abreiten. Schöne GruÃe Frau Eva Schmidt",B1
"Maria Schmidt BahnhofsstraÃe - 12 Stadt X . Srilanka AUPAIRSGLOBAL Stadt X. den Bahnhofstr. 101 Wiesbaden 0611/6 , ich habe ihre Anzeige in der Zeitschrift gelesen und ich interessiere mich sehr in diese Stelle. Ich habe Srilankische Aufenthalts und Reise Spass. Ich habe seit 5 Jahren in meinen Heimatland Deutsch gelernt und kann gut sprechen und schreiben. Ich will in Deutschland noch etwas mehr lernen. Können sie auch diese Stelle in Deutschland gibt auch. Ich will in der Freizeit etwas sportlich machen z.B Schwimmen oder Basketball spielen. Können Sie das machen Oder haben Sie andere möglichkeiten. Welche Rechte und Pflichten haben Sie dorthin schreiben Sie bitte alles mir Ich danke mich für Ihnen und ich warte Ihre positive Antworten. Mit freundlichen GrüÃen Maria Schmidt",B1
"Stadt X, Internationale Au-pair Vermittlung Bahnhofstr. 101 Wiesbaden Eva Winkelmann Müllergasse 12/21 Stadt Y , ich schreibe an Sie, weil ich an Ihre Anzeige interesse bin Ich mag neue Länder und Menschen kennen lennen und ich liebe reisen ich denke, dass die Arbeit als Au-pair ideall für mich ist, deshalb möchte ich für Sie ein paar Frage stellen. Vor allem möchte ich noch die Formalitäten erkundi-unreadable- Bitte sagen mir welche Dokumente brauche ich um das Au-pair arbeiten zu können. AuÃerdem möchte ich wissen ob ich flieÃend Deutsch sprechen muss oder nur kommunikativ? Bitte sagen mir auch ob ich die Freizeit habe und welche Freizeitaktivitäten schlagen Sie mir vor Ich hoffe dass Sie mir helfen. Ãber eine schnelle Antwort von Ihnen würde ich mich sehr freuen. Mit freundlichen GrüÃen Eva Winkelmann",B2
"Meier Katharina . 1234 Stadt X Computer-Spezialist OdenwaldstraÃe 5. Bonn Bewerbung um eine Praktikumstelle , ich kenne Ihr Unternehmen als Kundin, daher möchte ich mich bei Ihnen als Praktikantin bewerben Wie Sie aus meinem Lebenslauf entnehmen können, besuche ich zur Zeit einen einjähriges Kurs. Dieser Kurs beinhaltet Deutsch, Englisch, EDV Zu meinen Stärken gehört Belastbarkeit und Teamfähigkeit, ich lerne gerne neues, und arbeite in Aufgabengebiet schnell ein meine Praktikum fängt in April an, ich muss 20 Stunden pro Woche arbeiten Wenn das Praktikum gut verlaüft, möchte ich mich bei Ihnen als Systemkauffrau lernen Ich hoffe mit meiner Bewerbung Ihr Interess geweckt zu haben. Ãber eine positive Rückmeldung und über eine freundliche Gespräch würde ich mich sehr freuen Mit freundlichen GrüÃen Katharina M.",B2
"Maria Schmidt . BahnhofsstraÃe 12 Stadt X. Stadt Y Computer-Spezialist OdenwaldstraÃe 5. Bonn. Bewerbung um ein Praktikum , hiermit möchte ich mich als praktikantin in Ihrer Einrichtung bewerben. Ich lebe seit 7 Jahren in Deutschland und wohne seit 4 Jahren in Stadt Y. Im Sommer besuchte ich Ihre Einrichtung bei einem Exkurs der Volkshochschule. Dies hat mein Interess geweckt als Praktikantin bei Ihnen zu arbeit. Dies macht mir groÃe freude. Ich bin verheiratet und habe eine Tochter die in den Kindergarten geht. Ich bin Motiviert an arbeite gern im Team. Meine persönlichen Stärken sind Freundlichkeit und Zuverlässigkeit. Ãber eine Einladung zu einem persönlichen Gespräch, würde ich mich sehr freuen. Mit freundlichen GrüÃen Maria Schmidt",B2
"Katharina Winkelmann Müllergasse 12 Stadt X Computer-Spezialist OdenwaldstraÃe 5,m Bonn Bewerbung für Vertriebspraktikum. Ich lebe seit 4 Jahren in Deutschland. Ich bin Studentin als Betriebswirtschaftslehre an der XY Universität in Stadt Y und Ich will in Deutschland weiter Studieren. Ich möchte gerne dieses Vertriebspraktikum in Ihrem Haus absolvieren, weil ich mich für an elektronischer Datenverarbeitung interessiere. Ich kann gut mit andere Leute zusammen arbeiten Ich lerne gerne neues dazu. Ich kann sehr gut mit Computer arbeiten und ich kenne officeprogramme sehr gut. Ich kann flexibel arbeiten. Ich freue mich sehr über ein vorstellungsspräch. Mit freundlichen GrüÃen Katharina Winkelmann",B1
"Julia Schmidt Bahnhofstr. 123 Stadt X Computer-Spezialist OdenwaldstraÃe 5 Bonn Bewerbung um einen Praktikumsplatz , Ich interessiere mich dafür, mein Praktikum bei Ihrem Geschäft zu machen. Für diese Stelle bringe ich alle Voraussetzungen mit. Ich habe 4 Jahre Wirtschaft an der Uni in der Ukraine studiert. Meine Spezialisierung ist Betriebswirtschaft. Ich spreche gut Russisch, Deutsch, Englisch und ich habe Grundkenntnisse in Franzosisch. Ich habe auch gute Computerkenntnisse. Ich habe gern mit anderen Leuten zu tun und ich arbeite gern im Team. Ich möchte in Deutschland arbeiten, weil ich glaube, dass ich auf diese Weise die Gelegenheit haben werde, nicht nur die Arbeit, sondern auch die Mentalität der Deutschen besser kennen zu lernen. Diese Erfahrung wird mir später bei meiner Arbeit in der Ukraine helfen und in der deutscher Sprache Vielen Dank am hinaus Mit freundlichen GrüÃen Julia Schmidt",B2
"Julia Müller Stadt X, den 11,3,2010 Bahnhof str. 12 Stadt X VertriebPraktikant w./m Bahnhofstr. 5, Bonn Seher geeharter Dammen und Herren! In der Zeitung habe ich gelesen für Kaufmännischen Beruf und VertrebPraktik ant w/m. Ich möchte gern Teinehmen. Weil habe ich intersieren mich für diesen fach und möchte gern Teil nehmen. Invormieren Sie mir für diesen fach. Bitte schreiben Sie mich wann anfängen und wie viel-unreadable- geburien habe, für Teilnehmen? und Teilen Sie mir. oder rufen Sie mir mit desen Telefon nberen 012/ oder das Papier für Teil nehme in meine Adresse schreiben. Ich biedake mich für diesen invohrmieren. mit frundlichen GrüÃen",B1
